"MaterialType","Materials_Details_EN","Notes"
"木材，ウイグルマッチング，外から11年輪目","material wood year ring C14 wiggle matching sample from outermost",""
"木材，ウイグルマッチング，外から121-130年輪","material wood year ring C14 wiggle matching sample from outermost",""
"木材，ウイグルマッチング，外から131-135年輪","material wood year ring C14 wiggle matching sample from outermost",""
"木材，ウイグルマッチング，外から131年輪目","material wood year ring C14 wiggle matching sample from outermost",""
"木材，ウイグルマッチング，外から151-160年輪","material wood year ring C14 wiggle matching sample from outermost",""
"木材，ウイグルマッチング，外から16-20年輪","material wood year ring C14 wiggle matching sample from outermost",""
"木材，ウイグルマッチング，外から191-200年輪","material wood year ring C14 wiggle matching sample from outermost",""
"木材，ウイグルマッチング，外から1年輪","material wood year ring C14 wiggle matching sample from outermost",""
"木材，ウイグルマッチング，外から1年輪目","material wood year ring C14 wiggle matching sample from outermost",""
"木材，ウイグルマッチング，外から21-25年輪","material wood year ring C14 wiggle matching sample from outermost",""
"木材，ウイグルマッチング，外から21年輪","material wood year ring C14 wiggle matching sample from outermost",""
"木材，ウイグルマッチング，外から21年輪目","material wood year ring C14 wiggle matching sample from outermost",""
"木材，ウイグルマッチング，外から231-240年輪","material wood year ring C14 wiggle matching sample from outermost",""
"木材，ウイグルマッチング，外から26-30年輪","material wood year ring C14 wiggle matching sample from outermost",""
"木材，ウイグルマッチング，外から31-35年輪","material wood year ring C14 wiggle matching sample from outermost",""
"木材，ウイグルマッチング，外から31年輪","",""
"木材，ウイグルマッチング，外から31年輪目","material wood year ring C14 wiggle matching sample from outermost",""
"木材，ウイグルマッチング，外から36-40年輪","material wood year ring C14 wiggle matching sample from outermost",""
"木材，ウイグルマッチング，外から41-45年輪","material wood year ring C14 wiggle matching sample from outermost",""
"木材，ウイグルマッチング，外から41年輪","material wood year ring C14 wiggle matching sample from outermost",""
"木材，ウイグルマッチング，外から41年輪目","material wood year ring C14 wiggle matching sample from outermost",""
"木材，ウイグルマッチング，外から51-55年輪","material wood year ring C14 wiggle matching sample from outermost",""
"木材，ウイグルマッチング，外から51-60年輪","material wood year ring C14 wiggle matching sample from outermost",""
"木材，ウイグルマッチング，外から51年輪","material wood year ring C14 wiggle matching sample from outermost",""
"木材，ウイグルマッチング，外から51年輪目","material wood year ring C14 wiggle matching sample from outermost",""
"木材，ウイグルマッチング，外から6-10年輪","material wood year ring C14 wiggle matching sample from outermost",""
"木材，ウイグルマッチング，外から61年輪","material wood year ring C14 wiggle matching sample from outermost",""
"木材，ウイグルマッチング，外から61年輪目","material wood year ring C14 wiggle matching sample from outermost",""
"木材，ウイグルマッチング，外から71-75年輪","material wood year ring C14 wiggle matching sample from outermost",""
"木材，ウイグルマッチング，外から71年輪","material wood year ring C14 wiggle matching sample from outermost",""
"木材，ウイグルマッチング，外から81年輪","material wood year ring C14 wiggle matching sample from outermost",""
"木材，ウイグルマッチング，外から91-100年輪","material wood year ring C14 wiggle matching sample from outermost",""
"木材，ウイグルマッチング，外から91-95年輪","material wood year ring C14 wiggle matching sample from outermost",""
"木材，ウイグルマッチング，外から91年輪","material wood year ring C14 wiggle matching sample from outermost",""
"木材，ウイグルマッチング，外から91年輪目","material wood year ring C14 wiggle matching sample from outermost",""
"木材，ウイグルマッチング，柱材,外から1-5層","material wood C14 wiggle matching sample from outermost post/pillar",""
"木材，ウイグルマッチング，柱材,外から106-110層","material wood C14 wiggle matching sample from outermost post/pillar",""
"木材，ウイグルマッチング，柱材,外から121-125層","material wood C14 wiggle matching sample from outermost post/pillar",""
"木材，ウイグルマッチング，柱材,外から16-20層","material wood C14 wiggle matching sample from outermost post/pillar",""
"木材，ウイグルマッチング，柱材,外から31-35層","material wood C14 wiggle matching sample from outermost post/pillar",""
"木材，ウイグルマッチング，柱材,外から46-50層","material wood C14 wiggle matching sample from outermost post/pillar",""
"木材，ウイグルマッチング，柱材,外から61-65層","material wood C14 wiggle matching sample from outermost post/pillar",""
"木材，ウイグルマッチング，柱材,外から76-80層","material wood C14 wiggle matching sample from outermost post/pillar",""
"木材，ウイグルマッチング，柱材,外から91-95層","material wood C14 wiggle matching sample from outermost post/pillar",""
"木材,ウルシ,","material wood poison oak/ivy (Toxicodendron sp.)",""
"木材,クスノキ,","material wood camphor tree (Cinnamomum camphora)",""
"木材,クヌギ節,","material wood saw-tooth oak (Quercus acutissima)",""
"木材,クリ,","material wood chestnut (Castanea crenata)",""
"木材,クリ？,","material wood chestnut (Castanea crenata)",""
"木材,コナラ属コナラ亜属コナラ節,","material wood oak (Quercus sp.) Jolcham oak (Quercus serrata)",""
"木材,コナラ節,","material wood Jolcham oak (Quercus serrata)",""
"木材,ゴヨウマツ,樹皮直下内側最外縁","material wood bark outermost inside pine (Pinus sp.)",""
"木材,サクラ属,","material wood Cherry, plum etc (Cerasus, Prunus etc)",""
"木材,スギ,","material wood Japanese cedar (Cryptomeria japonica)",""
"木材,スギ,中心から180年輪目","material wood year ring from center Japanese cedar (Cryptomeria japonica)",""
"木材,スギ,中心から202年輪目","material wood year ring from center Japanese cedar (Cryptomeria japonica)",""
"木材,スギ,中心から230年輪目","material wood year ring from center Japanese cedar (Cryptomeria japonica)",""
"木材,スギ,外から140年輪目","material wood year ring from outermost Japanese cedar (Cryptomeria japonica)",""
"木材,スギ,外から190年輪目","material wood year ring from outermost Japanese cedar (Cryptomeria japonica)",""
"木材,タケ,胴外","material wood outside bamboo (Bambusoideae)",""
"木材,ニレ属,","material wood Elm (Ulmus sp.)",""
"木材,ヒノキ,","material wood hinoki cypress (Chamaecyparis obtusa)",""
"木材,ムクノキ,外から1年目","material wood from outermost oriental elm (Aphananthe aspera)",""
"木材,ヤマグワ,","material wood Chinese mulberry (Morus australis syn bombycis)",""
"木材,不明","unknown material wood",""
"木材,不明,不明","unknown material wood",""
"木材,内側","material wood inside",""
"木材,内周","material wood",""
"木材,最外","material wood outermost",""
"木材,最外縁","material wood outermost",""
"木材,外から2年輪","material wood year ring from outermost",""
"木材,外側","material wood",""
"木材,外周","material wood",""
"木材,外皮付き最外","material wood outermost",""
"木材,広葉樹,樹皮直下内側最外縁","material wood bark outermost inside hardwood",""
"木材,木胎","material wood",""
"木材,木胎部","material wood",""
"木材,木製品柄","material wood wooden items",""
"木材,板材最外縁","material wood outermost plank",""
"木材,表面5年輪","material wood year ring",""
"木材,裏面","material wood",""
"木材,針葉樹（スギ）,不明","unknown material wood Coniferae Japanese cedar (Cryptomeria japonica)",""
"木材：アカメガシワ","material wood, Japanese mallotus (Mallotus japonicus)",""
"木材：クスノキ科","material wood, Lauraceae camphor tree (Cinnamomum camphora)",""
"木材：コナラ属アカガシ亜属","material wood, ring-cupped oaks (Quercus subgenus Cyclobalanopsis)",""
"木材：ツガ属","material wood, Tsuga (Tsuga sp.) tsuga (Tsuga sp.) ",""
"木材：ネジキ","material wood, nejiki (Lyonia ovalifolia)",""
"木材：マツ属複維管束亜属","material wood, pine (Pinus sp.) subgen compound vascular",""
"木材：ムクノキ","material wood, oriental elm (Aphananthe aspera)",""
"木材(アオキ)","material wood Spotted laurel (Aucuba japonica)",""
"木材(アカガシ亜属)","material wood Japanese evergreen oak (Quercus acuta)",""
"木材（アカガシ亜属）","material wood, ring-cupped oaks (Quercus subgenus Cyclobalanopsis)",""
"木材(アカマツ)","material wood pine (Pinus sp.)",""
"木材(アカメガシワ)","material wood Japanese mallotus (Mallotus japonicus)",""
"木材(アサダ)","material wood East Asian hornbeam (Ostrya japonica)",""
"木材(アスナロ)","material wood hatchet-leaved arbor-vitae (Thujopsis dolabrata)",""
"木材(アワブキ属)","material wood Awabuki (Meliosma myriantha)",""
"木材(イイギリ属)","material wood Īgiri tree (Idesia polycarpa)",""
"木材(イスノキ)","material wood winter hazel (Dictylium racemosum)",""
"木材(イスノキ）","material wood winter hazel (Dictylium racemosum)",""
"木材（イスノキ）","material wood winter hazel (Dictylium racemosum)",""
